product_id,sku,name,brand,price_current,price_original,discount_amt,currency,installment,in_stock,category,url,image
110793,TM-DG-SBP-1105-SM-3602,Samsung Galaxy Z Fold7 (F966) 12/512 GB Black,Samsung,3999.99,4519.99,520,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-z-fold7-f966-12-512-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3602_1.png
105940,TM-DG-SBP-1105-SM-3445,Samsung Galaxy A56 (SM-A566E) 8/128 GB Green,Samsung,789.99,999.99,210,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a56-sm-a566e-8-128-gb-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3445_1.png
120332,TM-DG-SBP-1105-SM-3916,Vertu Metavertu Max Alli 12 GB / 1TB Iron Black,Vertu,18499.99,20499.99,2000,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/vertu-metavertu-max-alli-12-gb-1tb-iron-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3916_1-331bae24.webp
114553,TM-DG-SBP-1105-SM-3770,HONOR X7d 8/128 GB Velvet Black,HONOR,389.99,489.99,100,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x7d-8-128-gb-velvet-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3770_1.png
114028,TM-DG-SBP-1105-SM-3700,iPhone 17 512 GB Black,Apple,2849.99,3249.99,400,AZN,,Yes,Smartfonlar,https://kontakt.az/iphone-17-512-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3700_1.png
114557,TM-DG-SBP-1105-SM-3774,HONOR X7d 8/256 GB Meteor Silver,HONOR,439.99,539.99,100,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x7d-8-256-gb-meteor-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3774_1.png
115645,TM-DG-SBP-1105-SM-3657,Samsung Galaxy A17 (SM-A175) 4/128 GB Light Blue,Samsung,339.99,419.99,80,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-4-128-gb-light-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3657_10.png
114477,TM-DG-SBP-1105-SM-3651,Samsung Galaxy A07 (SM-A075) 4/128 GB Green,Samsung,269.99,309.99,40,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a07-sm-a075-4-128-gb-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3651_1.png
103573,TM-DG-SBP-1105-SM-3291,Samsung Galaxy S25 (SM-S931B) 12/128 GB Navy,Samsung,1559.99,1919.99,360,AZN,0% 12 ay,Yes,Telefoniya,https://kontakt.az/samsung-galaxy-s25-sm-s931b-12-128-gb-navy,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3291_1.png
119673,TM-DG-SBP-1105-SM-3889,Google Pixel 10 Pro 16/256 GB Obsidian,Google,2699.99,3299.99,600,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/google-pixel-10-pro-16-256-gb-obsidian,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3889_1.png
115554,TM-DG-SBP-1105-SM-3797,Samsung Galaxy S25 FE (SM-S731) 8/512 GB Black,Samsung,1569.99,1869.99,300,AZN,0% 12 ay,Unknown,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-fe-sm-s731-8-512-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3797_.png
119671,TM-DG-SBP-1105-SM-3887,Google Pixel 10 12/128 GB Obsidian,Google,1899.99,2299.99,400,AZN,0% 18 ay,Yes,Smartfonlar,https://kontakt.az/google-pixel-10-12-128-gb-obsidian,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3887_1.png
