product_id,name,brand,barcode,price_current,price_original,discount_amt,discount_pct,currency,installment_monthly,available,stock_qty,label,category,url,image
11165,Telefon Oukitel C35 12/256 GB Black,OUKITEL,C35 12/256 GB BLACK,299.99,419.99,120.0,,AZN,25.0,LimitedQuantity,13,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-c35-12-256-gb-black-p11165,https://static.elitoptimal.az/ElitOptimal/628a0a26-c0d7-4a5d-8b46-54626841e03f_Thumb.jpeg
11160,Telefon Honor Magic7 12GB/256GB Black,Honor,MAGIC7 12GB/256GB BLACK,1499.99,2199.99,700.0,,AZN,250.0,LimitedQuantity,1,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-magic7-12gb-256gb-black-p11160,https://static.elitoptimal.az/ElitOptimal/795241ed-1580-4240-9f08-937674e581cd_Thumb.jpeg
11003,Telefon Honor X8c 8GB/256GB Midnight Black,Honor,X8C 8GB/256GB MIDNIGHT BLACK,479.99,599.99,120.0,,AZN,80.0,LimitedQuantity,8,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x8c-8gb-256gb-midnight-black-p11003,https://static.elitoptimal.az/ElitOptimal/7cb656a3-7d2f-49db-b5c2-02d91bf92fd5_Thumb.png
10999,Telefon Honor X8c 8GB/128GB Marrs Green,Honor,X8C 8GB/128GB MARRS GREEN,399.99,499.99,100.0,,AZN,66.66,LimitedQuantity,15,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x8c-8gb-128gb-marrs-green-p10999,https://static.elitoptimal.az/ElitOptimal/f98b391a-3bcb-4d7e-9a11-01e331e316b6_Thumb.png
10916,Telefon Samsung Galaxy A55 8/128GB Dark Blue,Samsung,SM-A556EZKVMEA-,749.99,849.99,100.0,,AZN,62.5,LimitedQuantity,2,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a55-8-128gb-dark-blue-p10916,https://static.elitoptimal.az/ElitOptimal/50dff431-f3d9-4a2c-90aa-4a5acb8fbf1c_Thumb.png
10915,Telefon Samsung Galaxy А55 8/256GB Light Blue,Samsung,SM-A556ELBWMEA-,799.99,949.99,150.0,,AZN,66.67,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a55-8-256gb-light-blue-p10915,https://static.elitoptimal.az/ElitOptimal/611cc2ba-1fea-499c-bd38-f4ab886684c3_Thumb.png
10914,Telefon Samsung Galaxy А55 8/128GB Light Blue,Samsung,SM-A556ELBVMEA-,749.99,849.99,100.0,,AZN,62.5,LimitedQuantity,8,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a55-8-128gb-light-blue-p10914,https://static.elitoptimal.az/ElitOptimal/15fb8840-95ae-4a70-a488-5ed0614d3938_Thumb.png
10913,Telefon Samsung Galaxy АЗ5 8/256GB Dark Blue,Samsung,SM-A356EZKVMEA-,629.99,799.99,170.0,,AZN,52.5,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-az5-8-256gb-dark-blue-p10913,https://static.elitoptimal.az/ElitOptimal/7ea2c8ee-4b70-4b9b-8844-3d9d6e82a0f1_Thumb.png
10912,Telefon Samsung Galaxy А35 8/256GB Light Blue,Samsung,SM-A356ELBVMEA-,629.99,799.99,170.0,,AZN,52.5,LimitedQuantity,3,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a35-8-256gb-light-blue-p10912,https://static.elitoptimal.az/ElitOptimal/8a4c554c-9112-4874-ba11-c2df33c06dfd_Thumb.jpeg
10907,Telefon Samsung Galaxy А06 4/64GB Gold,Samsung,SM-A065FZDDMEA-,199.99,239.99,40.0,,AZN,16.67,LimitedQuantity,2,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a06-4-64gb-gold-p10907,https://static.elitoptimal.az/ElitOptimal/ef5db730-0186-436a-843d-ddd5da242051_Thumb.png
